episode,reward,length,compromise_progress
1,12.5,1,0.25
2,12.5,1,0.25
3,15.600000381469727,2,0.3333333333333333
4,12.5,1,0.0
5,12.5,1,0.25
6,12.5,1,0.25
7,12.5,1,0.0
8,12.5,1,0.0
9,12.5,1,0.25
10,12.5,1,0.0
11,12.5,1,0.25
12,12.5,1,0.0
13,12.5,1,0.0
14,15.600000381469727,2,0.3333333333333333
15,12.5,1,0.0
16,12.5,1,0.0
17,15.600000381469727,2,0.3333333333333333
18,12.5,1,0.0
19,12.5,1,0.0
20,12.5,1,0.0
21,15.600000381469727,2,0.3333333333333333
22,12.5,1,0.0
23,12.5,1,0.0
24,15.600000381469727,2,0.3333333333333333
25,12.5,1,0.0
26,12.5,1,0.25
27,12.5,1,0.0
28,12.5,1,0.0
29,12.5,1,0.0
30,12.5,1,0.0
31,15.600000381469727,2,0.3333333333333333
32,12.5,1,0.25
33,12.5,1,0.0
34,12.5,1,0.0
35,12.5,1,0.25
36,12.5,1,0.0
37,15.600000381469727,2,0.3333333333333333
38,12.5,1,0.25
39,12.5,1,0.0
40,12.5,1,0.0
41,15.600000381469727,2,0.3333333333333333
42,12.5,1,0.0
43,12.5,1,0.25
44,12.5,1,0.0
45,12.5,1,0.0
46,12.5,1,0.0
47,12.5,1,0.0
48,15.600000381469727,2,0.3333333333333333
49,12.5,1,0.25
50,12.5,1,0.0
51,12.5,1,0.0
52,12.5,1,0.0
53,12.5,1,0.0
54,15.600000381469727,2,0.3333333333333333
55,12.5,1,0.25
56,12.5,1,0.0
57,12.5,1,0.0
58,12.5,1,0.25
59,12.5,1,0.0
60,12.5,1,0.0
61,12.5,1,0.0
62,12.5,1,0.0
63,12.5,1,0.0
64,12.5,1,0.0
65,12.5,1,0.0
66,12.5,1,0.0
67,12.5,1,0.25
68,12.5,1,0.0
69,12.5,1,0.0
70,12.5,1,0.0
71,12.5,1,0.0
72,15.600000381469727,2,0.3333333333333333
73,12.5,1,0.0
74,15.600000381469727,2,0.3333333333333333
75,12.5,1,0.0
76,15.600000381469727,2,0.3333333333333333
77,12.5,1,0.25
78,12.5,1,0.0
79,12.5,1,0.0
80,12.5,1,0.0
81,12.5,1,0.0
82,12.5,1,0.25
83,12.5,1,0.0
84,15.600000381469727,2,0.3333333333333333
85,15.600000381469727,2,0.3333333333333333
86,12.5,1,0.0
87,12.5,1,0.0
88,15.600000381469727,2,0.3333333333333333
89,12.5,1,0.25
90,12.5,1,0.0
91,12.5,1,0.0
92,12.5,1,0.0
93,12.5,1,0.0
94,12.5,1,0.0
95,12.5,1,0.0
96,12.5,1,0.25
97,12.5,1,0.25
98,12.5,1,0.25
99,12.5,1,0.0
100,12.5,1,0.0
